country,region,code,hdi,A(House School),A(House Hospital),A(House Pharmacy),A(House Restaurant),A(School Hospital),A(Police Hospital),A(House Place of Worship),A(Bank Slot Machine),A(Fast-Food Place Toilet),A(House Police),A(University Library),A(House Library),D(School),D(Hospital),D(Pharmacy),D(Police),D(Library),D(Toilet),D(Restaurant),D(Place of Worship),D(Post Box),D(Vending Machine),D(Bench),D(Tree)
Central African Republic CAR,Bangui,CAFr106,0.525,0.9948460338114418,1.292120593388395,4.250123162628066,3.0546341608646403,0.8325005539498334,0.8291992699313542,1.6317637060355936,,,2.4901868226384796,1.9968920107895396,4.327243631811713,0.4011456048455436,0.1734683696629378,0.03252531931180084,0.03252531931180084,0.010841773103933612,0.0,0.2927278738062075,0.21683546207867224,0.0,0.0,0.0,34.20579414291055
Canada,Newfoundland and Labrador,CANr101,0.901,3.129925459392877,14.544958381814238,7.720465710177932,3.4629557738245036,20.313568001522302,24.654045375860278,1.4286355926145486,,8.180293339218732,7.278755147947543,1.5169148885418238,9.462732859033487,0.002964109785222667,0.00036935947479410186,0.0006002091465404155,0.00041552940914336457,0.0002770196060955764,0.0006556130677595308,0.0025393463892094503,0.006334514992718847,0.0026963241659969436,7.387189495882037e-05,0.004940182975371112,0.14999688271388475
Canada,"Prince Edward Island, Yukon Territory, Northwest Territories, Nunavut",CANr102,0.929,1.0390736432043348,966.6815500354445,,1112.9917083049318,322.5773644605211,0.9168353394960105,0.47584908154433253,,328.3333906707371,966.2567013093478,,1113.950662745172,1.267545035306859e-05,4.22515011768953e-06,0.0,4.22515011768953e-06,2.112575058844765e-06,1.690060047075812e-05,6.337725176534295e-06,2.535090070613718e-05,0.0,0.0,0.0,0.0
Canada,Nova Scotia,CANr103,0.909,1.824449378430055,6.667207018336849,5.344828693651314,2.426669976759059,11.336915813754885,9.92883690707253,1.0670201546015736,,3.1237980096423623,4.447720682239673,1.091788994344173,4.1497145173277925,0.008666491619624754,0.0008576215665253664,0.0027308476197255085,0.0012864323497880496,0.0012864323497880496,0.005393988273672699,0.014037910904704682,0.03049070358883605,0.07377802370977428,0.004220400866848513,0.010675131604381534,0.09140440380072984
Canada,New Brunswick,CANr104,0.904,2.3271620936517166,13.499972482396872,3.7436280993271183,3.0612676127485954,19.09049025181132,19.733969537253447,1.3079102374003235,,2.6670007392179964,8.969543596192576,1.4293970732765908,4.727125639175223,0.005496168521665727,0.0004014833428924587,0.0018135971696176582,0.0008168109389881055,0.0009137207114104232,0.003184178236733293,0.0069221266015941155,0.018122127442973392,0.003737948364860822,0.0007891224325817291,0.012238319831618395,0.14562769944433698
Canada,Quebec,CANr105,0.926,1.880569414514971,7.840896422125706,7.598337562885581,1.5884665535927949,9.709050794719435,22.02470520994126,1.5058515235487044,,2.2578445244961554,4.594708018242052,4.800985404753916,6.156070083084996,0.0014981896108133184,0.000100258535892111,0.0005731090775109324,0.00012514540650362791,0.00023322553030221565,0.0011462181550218648,0.0033177753792382266,0.0012443435305758458,0.0025270839472380318,0.00035410461612958355,0.008264574203361746,0.239252419310879
Canada,Ontario,CANr106,0.942,0.7947394216959588,5.6246750954785965,2.9144243249763986,1.3720419541541593,6.281119442753452,13.255392368141562,0.8882991099767551,,1.6634226208138057,3.441429523104268,1.9892095418888984,2.5470504509374714,0.0048233326128375295,0.00021505304643224655,0.0023990982712376596,0.0003491120883640366,0.0008164568039873602,0.0032323124554664933,0.01062138617638745,0.006634991610054637,0.013218780113815881,0.001508164221732638,0.020069755735871737,1.1763792645382853
Canada,Manitoba,CANr107,0.907,1.676089142906277,18.15589640047952,58.1242697756297,12.562211724488577,14.971099972009085,30.399920912677107,2.395048810923842,42.46991475713701,5.106193455180568,7.988311720514953,21.632699800197678,19.760829244971507,0.0012706088348322208,0.00012829748575556488,0.00017157856528756267,0.00013138899143642186,9.892818178742352e-05,0.0004158075140752645,0.0010542034371722319,0.002150142201036033,0.000816157499746244,2.3186292606427387e-05,0.0016137659654073462,0.005093255609211883
Canada,Saskatchewan,CANr108,0.92,1.1204010798729738,5.446202101101162,9.628573303655463,2.2981502603572164,18.28404129371307,39.38047117472666,2.7149125900744697,,6.956977987090745,8.485012802028061,1.4387832485602974,11.771564707892772,0.0013070903466169787,0.00014933776633904234,0.00017243123536054373,0.00011238821590464011,9.699256989030584e-05,0.0004541715574228607,0.0009237387608600556,0.0013548168492614149,0.0005172937060816311,5.6963890253036766e-05,0.002244685188889935,0.020242195379646687
Canada,Alberta,CANr109,0.947,0.7969111252639134,7.205873614702279,3.5598850882605237,1.8280498359226556,8.595125793778374,11.075411908478126,1.5534618095726929,176.3975967683711,4.348969974411914,3.890418822485289,2.6077125704556137,3.307095483143219,0.002655161808436812,0.00022265190293223693,0.000695219207114944,0.0002044762373867482,0.00024234220727318306,0.00185997644082168,0.004493933306122089,0.0024113049623681717,0.0016221781499348692,0.000472567304182707,0.012535150671205393,0.26616444624813695
