country,region,hdi
Turkey,"East Black Sea (Artvin, Giresun, Gumushane, Ordu,",.828
Turkey,"North East Anatolia (Agri, Erzincan, Erzurum, Kars",.809
Turkey,"Central East Anatolia (Bingol, Bitlis, Elazig, Hak",.804
Turkey,"South East Anatolia (Adiyaman, Diyarbakir, Gaziant",.805
Tuvalu,"Nanumea, Nanumaga, Niutao", 
Tuvalu,"Vaitupu, Nui, Nukufetau", 
Tuvalu,Funafuti,.674
Tanzania, Dodoma,.467
Tanzania," Arusha, Manyara",.535
Tanzania, Kilimanjaro,.603
Tanzania, Tanga,.536
Tanzania, Morogoro,.514
Tanzania, Pwani,.494
Tanzania, Dar Es Salam,.616
Tanzania, Lindi,.478
Tanzania, Mtwara,.477
Tanzania, Ruvuma,.522
Tanzania," Iringa, Njombe",.543
Tanzania, Mbeya,.51
Tanzania, Singida,.515
Tanzania, Tabora,.453
Tanzania," Rukwa, Katavi",.454
Tanzania, Kigoma,.489
Tanzania," Shinyanga, Simiyu",.478
Tanzania, Kagera,.49
Tanzania," Mwanza, Geita",.492
Tanzania, Mara,.509
Tanzania, Zanzibar North,.551
Tanzania, Zanzibar South,.602
Tanzania, Zanzibar West,.678
Tanzania, Pemba North,.534
Tanzania, Pemba South,.568
Uganda,Central 1 (Central South),.609
Uganda,Central 2 (Central North),.562
Uganda,Kampala,.663
Uganda,East Central (Busoga),.551
Uganda,"Eastern (Bukedi, Bugishu, Teso)",.549
Uganda,"North (Karamoja, Lango, Acholi)",.495
Uganda,West Nile,.506
Uganda,"Western (Bunyoro, Tooro)",.519
Uganda,"Southwest (Ankole, Kigezi)",.54
Ukraine,North,.737
Ukraine,Central,.727
Ukraine,East,.741
Ukraine,South,.74
Ukraine,West,.722
Uruguay,Montevideo and Metropolitan area,.846
Uruguay,"Norte (Artigas, Rivera, Cerro Largo and Trienta y Tres)",.798
Uruguay,"Costa Este (Canelones, Maldonado and Rocha)",.832
Uruguay,"Litoral Sur (Soriano, Colonia and San Jose)",.797
Uruguay,Centro (Durazno and Tacuarembo),.804
Uruguay,"Centro Sur (Flores, Florida and Lavalleja)",.822
Uruguay,"Litoral Norte (Paysandu, Salto and Rio Negro)",.789
United States,Alabama,.877
United States,Alaska,.931
United States,Arizona,.906
United States,Arkansas,.88
United States,California,.935
United States,Colorado,.952
United States,Connecticut,.95
United States,Delaware,.922
United States,District of Columbia,.947
United States,Florida,.925
United States,Georgia,.905
United States,Hawaii,.947
United States,Idaho,.916
United States,Illinois,.932
United States,Indiana,.903
United States,Iowa,.923
United States,Kansas,.921
United States,Kentucky,.879
United States,Louisiana,.881
United States,Maine,.929
United States,Maryland,.942
United States,Massachusetts,.956
United States,Michigan,.913
United States,Minnesota,.951
United States,Mississippi,.858
United States,Missouri,.904
United States,Montana,.924
United States,Nebraska,.931
United States,Nevada,.91
United States,New Hampshire,.956
United States,New Jersey,.943
United States,New Mexico,.884
United States,New York,.937
United States,North Carolina,.908
United States,North Dakota,.934
United States,Ohio,.908
United States,Oklahoma,.892
United States,Oregon,.938
United States,Pennsylvania,.928
United States,Rhode Island,.934
United States,South Carolina,.894
United States,South Dakota,.929
United States,Tennessee,.893
United States,Texas,.907
United States,Utah,.931
United States,Vermont,.945
United States,Virginia,.939
United States,Washington,.952
United States,West Virginia,.87
United States,Wisconsin,.929
United States,Wyoming,.936
Uzbekistan,"West (Karakalpakstan, Khorezm)",.726
Uzbekistan,"Central (Navoi, Bukhara, Samarkand)",.72
Uzbekistan,"South (Kashkadarya, Surkhandarya)",.695
Uzbekistan,"Central-East (Dzhizak, Syrdarya)",.749
Uzbekistan,"East (Namangan, Fergana, Andizhan)",.72
Uzbekistan,Tashkent,.814
Venezuela,Federal District,.743
Venezuela,Amazonas Federal Territory,.679
Venezuela,Anzoategui,.71
Venezuela,Apure,.628
Venezuela,Aragua,.725
Venezuela,Barinas,.646
Venezuela,Bolivar,.701
Venezuela,Carabobo,.719
Venezuela,Cojedes,.676
Venezuela,Amacuros Delta Federal Territory,.683
Venezuela,Falcon,.689
Venezuela,Guarico,.661
Venezuela,Lara,.679
Venezuela,Merida,.688
Venezuela,Miranda,.73
Venezuela,Monagas,.689
Venezuela,Nueva Esparta,.718
Venezuela,Portuguesa,.646
Venezuela,Sucre,.669
Venezuela,Tachira,.697
Venezuela,Trujillo,.669
Venezuela,Yaracuy,.666
Venezuela,Zulia,.684
Venezuela,Vargas,.719
Vietnam,Red River Delta,.768
Vietnam,"North East, North West",.685
Vietnam,North Central Coast and South Central Coast,.734
Vietnam,Central Highlands,.684
Vietnam,South East,.737
Vietnam,Mekong River Delta,.684
Vanuatu,Tafea,.565
Vanuatu,Shefa,.608
Vanuatu,Malampa,.59
Vanuatu,Penama,.552
Vanuatu,Sanma,.575
Vanuatu,Torba,.554
Vanuatu,Port Vila,.724
Vanuatu,Luganville,.709
Samoa,Apia Urban Area,.76
Samoa,North West Upolu,.722
Samoa,Rest of Upolu,.724
Samoa,Savaii,.718
Kosovo,Gjakova,.747
Kosovo,Gjilan,.757
Kosovo,Mitrovica,.764
Kosovo,Peja,.754
Kosovo,Prizren,.742
Kosovo,Pristina,.767
Kosovo,Ferizaj,.759
Yemen,Ibb,.425
Yemen,"Abyan, Aden (town and countryside), Lahej, Ad Dali (Al Dhalih)",.468
Yemen,"Sana a (capital; Al Amana), Sana a (governorate)",.466
Yemen,"Beida (Al Bayda), Dhamar, Raimah",.381
Yemen,Taiz,.452
Yemen,"Jawf, Hadramet, Shabda (Shabwah), Marib, Mohra (Al Mahrah)",.463
Yemen,"Hajja, Sada, Amran (Omran)",.375
Yemen,"Hodeida (Al Hudaydah), Mahweit (Al Mahwit)",.383
South Africa,Western Cape,.755
South Africa,Eastern Cape,.678
South Africa,Northern Cape,.705
South Africa,Free State,.716
South Africa,KwaZulu Natal,.714
South Africa,North West,.68
South Africa,Gauteng,.739
South Africa,Mpumalanga,.682
South Africa,Northern Province,.718
Zambia,Central,.565
Zambia,Copperbelt,.635
Zambia,Eastern,.512
Zambia,Luapula,.495
Zambia,Lusaka,.64
Zambia,Northern,.523
Zambia,North-Western,.589
Zambia,Southern,.566
Zambia,Western,.52
Zimbabwe,Manicaland,.539
Zimbabwe,Mashonaland Central,.495
Zimbabwe,Mashonaland East,.538
Zimbabwe,Mashonaland West,.519
Zimbabwe,Matebeleland North,.499
Zimbabwe,Matebeleland South,.542
Zimbabwe,Midlands,.547
Zimbabwe,Masvingo,.545
Zimbabwe,Harare,.622
Zimbabwe,Bulawayo,.649
