country,region,hdi
Cameroon,Ouest,.627
Cameroon,Sud,.628
Cameroon,Sud Ouest,.676
Congo Democratic Republic,Kinshasa,.582
Congo Democratic Republic,Bas-Congo,.481
Congo Democratic Republic,Bandundu,.458
Congo Democratic Republic,Equateur,.456
Congo Democratic Republic,Orientale,.468
Congo Democratic Republic,Nord-Kivu,.504
Congo Democratic Republic,Sud-Kivu,.492
Congo Democratic Republic,Maniema,.43
Congo Democratic Republic,Katanga,.467
Congo Democratic Republic,Kasai Oriental,.449
Congo Democratic Republic,Kasai Occidental,.403
Congo Brazzaville, Kouilou,.479
Congo Brazzaville, Niari,.549
Congo Brazzaville, Lekoumou,.48
Congo Brazzaville, Bouenza,.511
Congo Brazzaville, Pool,.464
Congo Brazzaville, Plateaux,.522
Congo Brazzaville, Cuvette,.561
Congo Brazzaville, Cuvette Ouest,.49
Congo Brazzaville, Sangha,.498
Congo Brazzaville, Likouala,.506
Congo Brazzaville, Brazzaville,.649
Congo Brazzaville, Pointe Noire,.639
Colombia,Antioquia (incl Medellin),.763
Colombia,Atlantico (incl Barranquilla),.777
Colombia,Bogota D.C.,.804
Colombia,Bolivar (Sur and Norte),.747
Colombia,Boyaca,.751
Colombia,Caldas,.769
Colombia,Caqueta,.708
Colombia,Cauca,.71
Colombia,Cesar,.72
Colombia,Cordoba,.707
Colombia,Cundinamarca,.765
Colombia,Choco,.687
Colombia,Huila,.717
Colombia,Guajira,.687
Colombia,Magdalena,.717
Colombia,Meta,.769
Colombia,Narino,.713
Colombia,Norte de Santander,.74
Colombia,Quindio,.775
Colombia,Risaralda,.752
Colombia,Santander,.768
Colombia,Sucre,.734
Colombia,Tolima,.737
Colombia,Valle (incl Cali),.782
Colombia,Arauca,.731
Colombia,Casanare,.741
Colombia,Putumayo,.708
Colombia,San Andres,.78
Colombia,Amazonas,.708
Colombia,Guainja,.661
Colombia,Guaviare,.746
Colombia,Vaupis,.631
Colombia,Vichada,.745
Comoros,Grande Comore (Ngazidja),.607
Comoros,Moheli,.603
Comoros,Anjouan (Ndzouani),.56
Cape Verde,S.Antao,.642
Cape Verde,S.Vicente,.685
Cape Verde,Santiago-Interior,.604
Cape Verde,Santiago- Praia,.696
Cape Verde,Fogo,.667
Costa Rica,San Jose,.824
Costa Rica,Alajuela,.8
Costa Rica,Cartago,.803
Costa Rica,Heredia,.833
Costa Rica,Guanacaste,.79
Costa Rica,Puntarenas,.783
Costa Rica,Limon,.765
Cuba,Pinar del Rio,.756
Cuba,Prov. Habana,.777
Cuba,C. Habana,.813
Cuba,Matanzas,.769
Cuba,Villa Clara,.748
Cuba,Cienfuegos,.763
Cuba,S.Spiritus,.748
Cuba,Ciego de Avila,.764
Cuba,Camaguey,.74
Cuba,Las Tunas,.736
Cuba,Holguin,.742
Cuba,Granma,.737
Cuba,Santiago de Cuba,.764
Cuba,Guantanamo,.768
Cuba,Isla,.802
Czech Republic,Praha,.965
Czech Republic,Stredni Cechy,.85
Czech Republic,Jihozapad,.878
Czech Republic,Severozapad,.835
Czech Republic,Severovychod,.871
Czech Republic,Jihovychod,.903
Czech Republic,Stredni Morava,.881
Czech Republic,Moravskoslezsko,.863
Germany,Baden-Wurttemberg,.963
Germany,Bayern,.958
Germany,Berlin,.967
Germany,Brandenburg,.926
Germany,Bremen,.954
Germany,Hamburg,.975
Germany,Hessen,.954
Germany,Mecklenburg-Vorpommern,.922
Germany,Niedersachsen,.936
Germany,Nordrhein-Westfalen,.946
Germany,Rheinland-Pfalz,.938
Germany,Saarland,.934
Germany,Sachsen,.944
Germany,Sachsen-Anhalt,.921
Germany,Schleswig-Holstein,.929
Germany,Thuringen,.928
Djibouti,Djibouti,.522
Djibouti,Other Districts,.473
Denmark,Hovedstaden,.97
Denmark,Sjaelland,.918
Denmark,Syddanmark,.937
